Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Timecheck
20200715_171923_3907577024,58,0.662468,-0.054118,0.163349,13,0,0,1,0,3,0:06:11
20200715_171923_3907610356,58,0.594956,-0.053726,0.167366,11,0,0,1,0,3,0:06:11
20200715_171923_3907627022,58,0.527962,-0.037326,0.171028,10,0,0,1,0,3,0:06:11
20200715_171923_3907660354,58,0.494302,-0.025729,0.172802,9,0,0,1,0,3,0:06:11
20200715_171923_3907693686,58,0.486159,-0.000439,0.175274,8,0,0,1,0,3,0:06:11
20200715_171923_3907727018,58,0.477151,0.019913,0.177277,5,0,0,1,0,3,0:06:11
20200715_171923_3907743684,58,0.536107,0.024076,0.177975,3,0,0,1,0,3,0:06:11
20200715_171923_3907777016,58,0.56742,0.025719,0.178399,2,0,0,1,0,3,0:06:11
20200715_171923_3907810348,58,0.651438,0.030766,0.179532,-1,0,0,1,0,3,0:06:11
20200715_171923_3907843680,58,0.713761,0.030531,0.18166,-3,0,0,1,0,3,0:06:11
20200715_171923_3907877012,58,0.775593,0.025365,0.183881,-6,0,0,1,0,3,0:06:11
20200715_171923_3907910344,58,0.798802,0.017364,0.186398,-8,0,0,1,0,3,0:06:11
20200715_171923_3907943676,58,0.799953,0.002457,0.188447,-10,0,0,0,0,3,0:06:11
20200715_171923_3907977008,58,0.755525,-0.022139,0.189557,-12,0,0,0,0,3,0:06:11
20200715_171923_3908010340,58,0.669495,-0.033969,0.190072,-13,0,0,0,0,3,0:06:11
20200715_171923_3908043672,58,0.590062,-0.038031,0.190244,-15,0,0,0,0,3,0:06:11
20200715_171924_3908060338,58,0.496404,-0.030603,0.189969,-16,0,0,0,0,3,0:06:12
20200715_171924_3908093670,58,0.466762,-0.025933,0.190141,-17,0,0,0,0,3,0:06:12
20200715_171924_3908110336,58,0.462379,-0.009279,0.191834,-19,0,0,0,0,3,0:06:12
20200715_171924_3908160334,58,0.454801,0.004447,0.192567,-19,0,0,0,0,3,0:06:12
20200715_171924_3908193666,58,0.43004,0.02393,0.193173,-21,0,0,0,0,3,0:06:12
20200715_171924_3908226998,58,0.407176,0.026521,0.192521,-21,0,0,0,0,3,0:06:12
20200715_171924_3908243664,58,0.356004,0.019575,0.190724,-22,0,0,0,0,3,0:06:12
20200715_171924_3908276996,58,0.302445,0.015232,0.188973,-22,0,0,0,0,3,0:06:12
20200715_171924_3908310328,58,0.204955,0.00265,0.185609,-22,0,0,1,0,3,0:06:12
20200715_171924_3908343660,58,0.142593,-0.005398,0.18356,-23,0,0,1,0,3,0:06:12
20200715_171924_3908393658,58,0.108316,-0.010659,0.182759,-23,0,0,1,0,3,0:06:12
20200715_171924_3908410324,58,0.089355,-0.0051,0.182816,-23,0,0,1,0,3,0:06:12
20200715_171924_3908460322,58,0.085678,-0.001047,0.18277,-24,0,0,1,0,3,0:06:12
20200715_171924_3908476988,58,0.072697,0.002925,0.182067,-24,0,0,1,0,3,0:06:12
20200715_171924_3908510320,58,0.062423,0.003065,0.181597,-24,0,0,1,0,3,0:06:12
20200715_171924_3908526986,58,0.03505,0.00424,0.180556,-24,0,0,1,0,3,0:06:12
20200715_171924_3908560318,58,0.020689,0.00417,0.180058,-24,0,0,1,0,3,0:06:12
20200715_171924_3908593650,58,-0.002717,-0.00058,0.179177,-24,0,0,1,0,3,0:06:12
20200715_171924_3908626982,57,-0.008077,0.003331,0.179623,-24,0,0,1,0,3,0:06:12
20200715_171924_3908643648,57,-0.006704,1.60E-05,0.179709,-24,0,0,1,0,3,0:06:12
20200715_171924_3908693646,57,-0.004628,-0.00023,0.179818,-24,0,0,1,0,3,0:06:12
20200715_171924_3908710312,57,-0.002134,-0.001284,0.17976,-24,0,0,0,0,0,0:06:12
20200715_171924_3908760310,57,-0.001812,-0.000718,0.179732,-23,0,0,0,0,0,0:06:12
20200715_171924_3908776976,57,-0.012257,-0.001502,0.178776,-23,0,0,0,0,0,0:06:12
20200715_171924_3908810308,57,-0.014813,-7.50E-05,0.178702,-23,0,0,0,0,0,0:06:12
20200715_171924_3908843640,57,-0.023813,0.000112,0.178364,-23,0,0,0,0,0,0:06:12
20200715_171924_3908876972,57,-0.037055,-0.001062,0.177849,-23,0,0,0,0,0,0:06:12
