Timestamp,Odometer,Gear(dashboard),RPM,            Fuel_level,Avg_fuel_consumption,Velocity,            Acceleration_x,Acceleration_y,Acceleration_z,            Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,            Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,            Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right)
20200610_152220_446498806, 24895.6796875, 0.0, 1515.842529296875, 62.101463317871094, 0.4339619576931, 178.50875854492188, 0.011711038649082184, -0.04188530147075653, -0.8086923956871033, -27816.603515625, 9.009782791137695, -2391.28759765625, 0.01567120850086212, -0.0045181699097156525, -0.0006452631205320358, 0.015289539471268654, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446532138, 24895.7109375, 0.0, 1516.5751953125, 62.071815490722656, 0.43396255373954773, 178.60882568359375, -0.21561777591705322, -0.0012904144823551178, -0.8170697689056396, -27816.775390625, 8.979809761047363, -2392.931640625, 0.016424253582954407, -0.004551296588033438, -0.0007951098959892988, 0.015045395120978355, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446565470, 24895.7421875, 0.0, 1517.222900390625, 62.04216003417969, 0.43396317958831787, 178.70774841308594, -0.4993647038936615, 0.05392131209373474, -0.8180082440376282, -27816.95703125, 8.949756622314453, -2394.575927734375, 0.017178203910589218, -0.0045969826169312, -0.0009571750997565687, 0.013031205162405968, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446598802, 24895.775390625, 0.0, 1518.0391845703125, 62.01249694824219, 0.433963805437088, 178.80511474609375, -0.5264283418655396, 0.11580915004014969, -0.8188321590423584, -27817.146484375, 8.919381141662598, -2396.22021484375, 0.017901623621582985, -0.004641265142709017, -0.0010763239115476608, 0.010803387500345707, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446615468, 24895.806640625, 0.0, 1518.80078125, 61.982818603515625, 0.43396443128585815, 178.89987182617188, -0.3290809094905853, 0.15356114506721497, -0.8170467615127563, -27817.341796875, 8.888425827026367, -2397.864501953125, 0.018449798226356506, -0.004697158932685852, -0.0010631189215928316, 0.009308002889156342, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446665466, 24895.822265625, 0.0, 1519.175537109375, 61.96797561645508, 0.4339647591114044, 178.94871520996094, -0.1984042525291443, 0.1439223289489746, -0.8161770105361938, -27817.439453125, 8.87273120880127, -2398.686767578125, 0.018670886754989624, -0.004718408454209566, -0.0010021404596045613, 0.008697642013430595, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152220_446698798, 24895.869140625, 0.0, 1520.360107421875, 61.92343521118164, 0.43396568298339844, 179.09959411621094, 0.3347827196121216, 0.08035322278738022, -0.8179851770401001, -27817.740234375, 8.825284004211426, -2401.15478515625, 0.019219812005758286, -0.004751079250127077, -0.0006898490828461945, 0.006652933545410633, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152220_446715464, 24895.900390625, 0.0, 1521.1649169921875, 61.89372634887695, 0.4339662790298462, 179.1993408203125, 0.5687135457992554, -0.036739178001880646, -0.8193585276603699, -27817.9453125, 8.793227195739746, -2402.801025390625, 0.019526850432157516, -0.004754114896059036, -0.0004699549463111907, 0.00588998245075345, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152220_446748796, 24895.916015625, 0.0, 1521.5596923828125, 61.87887191772461, 0.43396660685539246, 179.2485809326172, 0.6167631149291992, -0.09017199277877808, -0.8203885555267334, -27818.048828125, 8.77701473236084, -2403.624267578125, 0.019671520218253136, -0.004756050184369087, -0.0003846155304927379, 0.005371175706386566, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152220_446782128, 24895.947265625, 0.0, 1522.356201171875, 61.84915542602539, 0.4339672327041626, 179.3460235595703, 0.5710011124610901, -0.1932770162820816, -0.821853518486023, -27818.2578125, 8.744122505187988, -2405.271240234375, 0.01994594931602478, -0.00476428447291255, -0.0002848947769962251, 0.004974441137164831, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
