,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200610_152037_343052944,24848.05078125,106.43341064453124,-0.014841755852103232,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343069610,24848.05078125,106.43328094482422,-0.01469779945909977,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343119608,24848.05078125,106.43321990966795,-0.015268280170857906,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343136274,24848.05078125,106.43302154541016,-0.01615835539996624,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343169606,24848.05078125,106.4329605102539,-0.016367416828870773,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343202938,24848.05078125,106.43282318115234,-0.016823427751660347,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343252936,24848.05078125,106.43268585205078,-0.01689932867884636,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343269602,24848.05078125,106.43245697021484,-0.017147239297628403,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343302934,24848.05078125,106.43238830566406,-0.017078148201107982,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343319600,24848.05078125,106.43224334716795,-0.01821241527795792,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343369598,24848.05078125,106.43216705322266,-0.020247984677553173,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343386264,24848.05078125,106.43195343017578,-0.03290574997663498,0.0, 0.00.0,0.0,0.0, ,0
20200610_152037_343419596,24848.05078125,106.431884765625,-0.03761928528547287,0.03174638748168945, 0.00.0,0.0,0.0, ,0
20200610_152037_343452928,24848.052734375,106.43140411376952,-0.043171219527721405,0.17460134625434875, 0.00.0,0.0,0.0, ,0
20200610_152037_343486260,24848.052734375,106.43074035644531,-0.04674880206584929,0.3055542707443237, 0.00.0,0.0,0.0, ,0
20200610_152037_343519592,24848.052734375,106.42999267578124,-0.04876090586185455,0.3492027223110199, 0.00.0,0.0,0.0, ,0
20200610_152037_343552924,24848.052734375,106.42921447753906,-0.04559282213449478,0.3492027223110199, 0.00.0,0.0,0.0, ,0
20200610_152037_343586256,24848.052734375,106.4284210205078,-0.03782974556088448,0.341268002986908, 0.00.0,0.0,0.0, ,0
20200610_152037_343619588,24848.052734375,106.42762756347656,-0.03491843864321709,0.341268002986908, 0.00.0,0.0,0.0, ,0
20200610_152037_343636254,24848.052734375,106.42683410644531,-0.03561170771718025,0.341268002986908, 0.00.0,0.0,0.0, ,0
20200610_152037_343669586,24848.052734375,106.42643737792969,-0.035681333392858505,0.341268002986908, 0.00.0,0.0,0.0, ,0
20200610_152037_343702918,24848.052734375,106.42562103271484,-0.038418348878622055,0.3333256840705872, 0.00.0,0.0,0.0, ,0
20200610_152037_343736250,24848.052734375,106.4248046875,-0.04475507512688637,0.3253909945487976, 0.00.0,0.0,0.0, ,0
20200610_152037_343769582,24848.052734375,106.42398834228516,-0.04983174055814743,0.3253909945487976, 0.00.0,0.0,0.0, ,0
20200610_152037_343786248,24848.052734375,106.42316436767578,-0.05386875942349434,0.3253909945487976, 0.00.0,0.0,0.0, ,0
20200610_152037_343836246,24848.0546875,106.42274475097656,-0.056865207850933075,0.3253909945487976, 0.00.0,0.0,0.0, ,0
20200610_152037_343869578,24848.0546875,106.42147064208984,-0.06574170291423798,0.3253909945487976, 0.00.0,0.0,0.0, ,0
20200610_152037_343902910,24848.0546875,106.42059326171876,-0.0668465793132782,0.3253909945487976, 0.00.0,0.0,0.0, ,0
20200610_152037_343919576,24848.0546875,106.41969299316406,-0.07919365167617798,0.3253909945487976, 0.00.0,0.0,0.0, ,0
20200610_152037_343952908,24848.0546875,106.41922760009766,-0.08590608090162277,0.3333256840705872, 0.00.0,0.0,0.0, ,0
20200610_152037_343969574,24848.0546875,106.41828155517578,-0.09585411846637726,0.3333256840705872, 0.00.0,0.0,0.0, ,0
20200610_152038_344002906,24848.0546875,106.41780090332031,-0.1005234494805336,0.3333256840705872, 0.00.0,0.0,0.0, ,0
20200610_152038_344036238,24848.0546875,106.41680145263672,-0.107029028236866,0.3333256840705872, 0.00.0,0.0,0.0, ,0
20200610_152038_344086236,24848.056640625,106.415771484375,-0.11474468559026718,0.3333256840705872, 0.00.0,0.0,0.0, ,0
20200610_152038_344102902,24848.056640625,106.41417694091795,-0.10531078279018402,0.3134889602661133, 0.00.0,0.0,0.0, ,0
20200610_152038_344136234,24848.056640625,106.41365051269531,-0.0978214666247368,0.2896772623062134, 0.00.0,0.0,0.0, ,0
20200610_152038_344169566,24848.056640625,106.41267395019531,-0.0933537781238556,0.21428245306015012, 0.00.0,0.0,0.0, ,0
20200610_152038_344202898,24848.056640625,106.41188049316406,-0.1064341440796852,0.11507591605186462, 0.00.0,0.0,0.0, ,0
20200610_152038_344219564,24848.056640625,106.41138458251952,-0.1279975175857544,0.011902034282684326, 0.00.0,0.0,0.0, ,0
20200610_152038_344286228,24848.056640625,106.41129302978516,-0.1205005943775177,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344302894,24848.05859375,106.41120910644531,-0.10125496983528136,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344336226,24848.05859375,106.41120147705078,-0.09862612187862396,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344352892,24848.05859375,106.41120147705078,-0.08349408954381943,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344402890,24848.05859375,106.41120147705078,-0.06080906838178635,0.0, 0.00.0,0.0,0.0, ,0
