Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140235_1447869648,87,-0.000777,4.8623,19,0,0,0,0,2,0:00:05
20200722_140235_1447902980,87,0.00876,4.8373,19,0,0,0,0,2,0:00:05
20200722_140235_1447936312,87,0.004408,4.8172,19,0,0,0,0,2,0:00:05
20200722_140235_1447969644,87,0.016128,4.8195,19,0,0,0,0,2,0:00:05
20200722_140235_1448019642,87,0.004643,4.8809,19,0,0,0,0,2,0:00:05
20200722_140235_1448069640,87,0.004151,4.8661,19,0,0,0,0,2,0:00:05
20200722_140236_1448086306,87,0.009255,4.8893,19,0,0,0,0,2,0:00:06
20200722_140236_1448136304,87,0.004092,4.9109,19,0,0,0,0,2,0:00:06
20200722_140236_1448152970,87,-0.011213,4.8972,19,0,0,0,0,2,0:00:06
20200722_140236_1448186302,87,0.005645,4.9132,19,0,0,0,0,2,0:00:06
20200722_140236_1448219634,87,0.019073,4.9287,19,0,0,0,0,2,0:00:06
20200722_140236_1448252966,87,0.015682,4.9227,19,0,0,0,0,2,0:00:06
20200722_140236_1448286298,87,-0.003069,4.8881,19,0,0,0,0,2,0:00:06
20200722_140236_1448302964,87,0.013713,4.8692,19,0,0,0,0,2,0:00:06
20200722_140236_1448336296,87,0.009827,4.8354,19,0,0,0,0,2,0:00:06
20200722_140236_1448352962,87,-0.001753,4.8062,19,0,0,0,0,2,0:00:06
20200722_140236_1448402960,87,-0.006007,4.8092,19,0,0,0,0,2,0:00:06
20200722_140236_1448452958,87,0.042811,4.9249,19,0,0,0,0,2,0:00:06
20200722_140236_1448486290,87,0.0694,5.1481,20,0,0,0,0,2,0:00:06
20200722_140236_1448519622,87,0.116902,5.3848,20,0,0,0,0,2,0:00:06
20200722_140236_1448552954,87,0.128304,5.6816,20,0,0,0,0,2,0:00:06
20200722_140236_1448569620,87,0.107809,5.9578,20,0,0,0,0,2,0:00:06
20200722_140236_1448619618,87,0.092687,6.058,20,0,0,0,0,2,0:00:06
20200722_140236_1448636284,87,0.080992,6.2246,20,0,0,0,0,2,0:00:06
20200722_140236_1448669616,87,0.052771,6.2147,20,0,0,0,0,2,0:00:06
20200722_140236_1448702948,87,-0.012255,6.0895,20,0,0,0,0,2,0:00:06
20200722_140236_1448736280,88,-0.040639,5.9381,19,0,0,0,0,2,0:00:06
20200722_140236_1448752946,88,-0.098598,5.7886,19,0,0,0,0,2,0:00:06
20200722_140236_1448786278,88,-0.151007,5.6755,18,0,0,0,0,2,0:00:06
20200722_140236_1448802944,88,-0.305802,5.3386,17,0,0,0,0,2,0:00:06
20200722_140236_1448852942,88,-0.381696,5.0369,16,0,0,0,0,2,0:00:06
20200722_140236_1448869608,88,-0.487669,4.2207,15,0,0,0,0,2,0:00:06
20200722_140236_1448902940,88,-0.514408,3.9991,14,0,0,0,0,2,0:00:06
20200722_140236_1448936272,88,-0.527451,3.7653,14,0,0,0,0,2,0:00:06
20200722_140236_1448969604,88,-0.496867,3.7141,13,0,0,0,0,2,0:00:06
20200722_140236_1449002936,88,-0.391142,3.6371,12,0,0,0,0,2,0:00:06
20200722_140236_1449019602,88,-0.351884,3.5654,11,0,0,0,0,2,0:00:06
20200722_140237_1449052934,88,-0.332366,3.5111,11,0,0,0,0,2,0:00:07
20200722_140237_1449086266,88,-0.298524,3.4826,11,0,0,0,0,2,0:00:07
20200722_140237_1449119598,88,-0.251152,3.4675,11,0,0,0,0,2,0:00:07
20200722_140237_1449152930,88,-0.162104,3.5138,11,0,0,0,0,2,0:00:07
20200722_140237_1449186262,88,-0.090155,3.6048,11,0,0,0,0,2,0:00:07
20200722_140237_1449219594,88,-0.053214,3.6466,10,0,0,0,0,2,0:00:07
20200722_140237_1449236260,88,-0.064188,3.5881,10,0,0,0,0,2,0:00:07
20200722_140237_1449269592,88,-0.075455,3.5005,10,0,0,0,0,2,0:00:07
20200722_140237_1449302924,88,-0.128489,3.321,9,0,0,0,0,2,0:00:07
20200722_140237_1449336256,88,-0.181045,3.1499,9,0,0,0,0,2,0:00:07
20200722_140237_1449352922,88,-0.187955,3.0561,9,0,0,0,0,2,0:00:07
20200722_140237_1449386254,88,-0.187557,3.0292,8,0,0,0,0,2,0:00:07
20200722_140237_1449419586,88,-0.220093,2.9108,8,0,0,0,0,2,0:00:07
