Timestamp,Odometer,Gear(dashboard),RPM,Fuel_level,Avg_fuel_consumption,Velocity,Acceleration_x,Acceleration_y,Acceleration_z,Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right),
20200518_160919_3088559786,133040.1875,0,1035.328735,204.9256134,0.314776123,89.56079865,-0.032779966,-0.020975631,-0.952549279,-29675.44141,42.4444313,3699.764648,0.64145112,-0.001738549,7.84E-05,-0.007095445,1, 0.00.0,0,0,0, 
20200518_160919_3088576452,133040.2188,0,1037.358765,204.8936615,0.314776391,89.7430954,0.004940466,-0.003545939,-0.981320918,-29674.47656,42.44436264,3700.552734,0.641153097,-0.001737448,8.18E-05,-0.007217517,1, 0.00.0,0,0,0, 
20200518_160919_3088626450,133040.2188,0,1038.046997,204.8829956,0.31477648,89.80500031,0.016760606,-0.000838231,-0.990224779,-29674.1543,42.4443512,3700.816406,0.641052365,-0.001735968,8.45E-05,-0.007217517,1, 0.00.0,0,0,0, 
20200518_160919_3088643116,133040.25,0,1040.139282,204.8509674,0.314776748,89.99272919,0.0082865,0.005499725,-1.015276909,-29673.18945,42.44432068,3701.608887,0.640755892,-0.001736234,8.77E-05,-0.006881819,1, 0.00.0,0,0,0, 
20200518_160919_3088676448,133040.25,0,1040.846802,204.8402863,0.314776808,90.05614471,-0.0004034,0.009943429,-1.023528457,-29672.86719,42.44430923,3701.874023,0.640661716,-0.001736006,8.66E-05,-0.006424048,1, 0.00.0,0,0,0, 
20200518_160919_3088709780,133040.2656,0,1042.279419,204.8188629,0.314776987,90.18473053,-0.051575109,0.023089819,-1.039951444,-29672.22461,42.44431305,3702.405029,0.640494287,-0.00173889,7.99E-05,-0.005508507,1, 0.00.0,0,0,0, 
20200518_160919_3088743112,133040.2813,0,1043.729492,204.7974243,0.314777136,90.31469727,-0.095676392,0.024526468,-1.054898024,-29671.57813,42.44432449,3702.937012,0.640359879,-0.001739877,6.28E-05,-0.004135195,1, 0.00.0,0,0,0, 
20200518_160919_3088793110,133040.2969,0,1045.194946,204.7759705,0.314777315,90.44636536,-0.164769411,0.022073222,-1.069009066,-29670.93359,42.44434738,3703.470215,0.640265703,-0.001737979,3.46E-05,-0.002517739,1, 0.00.0,0,0,0, 
20200518_160919_3088843108,133040.3281,0,1047.415527,204.7436981,0.314777583,90.64666748,-0.287814349,0.018795256,-1.089964032,-29669.96289,42.4444046,3704.270996,0.640225112,-0.001730618,-2.29E-05,-0.000686656,1, 0.00.0,0,0,0, 
20200518_160919_3088859774,133040.3438,0,1049.690308,204.7113647,0.314777851,90.84986877,-0.28127861,0.006552092,-1.108618617,-29668.99023,42.44450378,3705.072998,0.640275657,-0.00172394,-6.33E-05,0.000335698,1, 0.00.0,0,0,0, 
