Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Label2
20200707_143740_997560096, 1236.034912109375, 27.052967071533203,0.0207, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997576762, 1236.1895751953125, 27.056583404541016,0.0191, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997610094, 1236.25927734375, 27.058242797851562,0.0172, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997626760, 1236.3956298828125, 27.061603546142578,0.0148, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997660092, 1236.459716796875, 27.063091278076172,0.0131, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997710090, 1236.5872802734375, 27.06601333618164,0.01, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997726756, 1236.759765625, 27.0699462890625,0.0057, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997760088, 1236.80615234375, 27.071069717407227,0.0035, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997810086, 1236.9111328125, 27.073314666748047,0.0012, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997826752, 1237.0509033203125, 27.0762939453125,-0.0011, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997860084, 1237.0897216796875, 27.07721519470215,-0.0013, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143740_997910082, 1237.169677734375, 27.078914642333984,-0.0013, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_997960080, 1237.2696533203125, 27.081253051757812,-0.0013, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_997976746, 1237.3631591796875, 27.083248138427734,-0.0015, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998010078, 1237.393798828125, 27.08383560180664,-0.0021, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998026744, 1237.443359375, 27.08489990234375,-0.0035, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998076742, 1237.4647216796875, 27.085357666015625,-0.0053, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998110074, 1237.5302734375, 27.08656883239746,-0.0087, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998126740, 1237.564208984375, 27.08724021911621,-0.0101, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998176738, 1237.5831298828125, 27.087617874145508,-0.0115, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998193404, 1237.621337890625, 27.088333129882812,-0.0133, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143741_998226736, 1237.729736328125, 27.08857536315918,-0.0141, 0.03174638748168945, 0.0, 0.0, 0.0,0,1
20200707_143741_998276734, 1238.01171875, 27.089128494262695,-0.0149, 0.03571373224258423, 0.0, 0.0, 0.0,0,1
20200707_143741_998293400, 1241.05517578125, 27.091638565063477,-0.0167, 0.1031738817691803, 0.0, 0.0, 0.0,0,1
20200707_143741_998326732, 1242.5025634765625, 27.093935012817383,-0.0176, 0.15475699305534363, 0.0, 0.0, 0.0,0,1
20200707_143741_998343398, 1244.8804931640625, 27.10213279724121,-0.0185, 0.19047075510025024, 0.0, 0.0, 0.0,0,1
