2,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_112446_856365744,95.48168945,0.008796,0.306367,6,6,0,0,0,2,0:00:06
20200722_112446_856399076,95.44625092,0.00307,0.302819,6,6,0,0,0,2,0:00:06
20200722_112446_856449074,95.41101837,-0.004606,0.299157,6,6,0,0,0,2,0:00:06
20200722_112446_856482406,95.35871887,-0.002445,0.294751,6,6,0,0,0,2,0:00:06
20200722_112446_856499072,95.32460022,-0.002456,0.291386,6,6,0,0,0,2,0:00:06
20200722_112447_856549070,95.30750275,-0.000526,0.290322,6,6,0,0,0,2,0:00:07
20200722_112447_856599068,95.25733948,0.001851,0.28532,6,8,0,0,0,2,0:00:07
20200722_112447_856632400,95.207901,0.007969,0.280285,6,8,0,0,0,2,0:00:07
20200722_112447_856649066,95.17566681,0.014953,0.276382,6,8,0,0,0,2,0:00:07
20200722_112447_856682398,95.15982819,0.015522,0.27462,6,8,0,0,0,2,0:00:07
20200722_112447_856699064,95.12874603,0.023824,0.269996,6,8,0,0,0,2,0:00:07
20200722_112447_856732396,95.11347961,0.026286,0.267272,7,8,0,0,0,2,0:00:07
20200722_112447_856765728,95.08308411,0.035924,0.262775,7,9,0,0,0,2,0:00:07
20200722_112447_856782394,95.05329132,0.030166,0.257693,7,9,0,0,0,2,0:00:07
20200722_112447_856815726,95.03853607,0.025646,0.255256,7,10,0,0,0,2,0:00:07
20200722_112447_856849058,95.0096283,0.026475,0.250346,7,11,0,0,0,2,0:00:07
20200722_112447_856915722,94.98169708,0.019078,0.245081,7,12,0,0,0,2,0:00:07
20200722_112447_856932388,94.92784119,0.023642,0.23366,7,13,0,0,0,2,0:00:07
20200722_112447_856949054,94.9147644,0.027073,0.230879,7,13,0,0,0,2,0:00:07
20200722_112447_856982386,94.90208435,0.027037,0.227422,7,13,0,0,0,2,0:00:07
20200722_112447_857015718,94.87699127,0.031793,0.221059,7,13,0,0,0,2,0:00:07
20200722_112447_857032384,94.85256958,0.042731,0.215223,7,13,0,0,0,2,0:00:07
20200722_112447_857082382,94.84095764,0.038944,0.211434,7,13,0,0,0,2,0:00:07
20200722_112447_857099048,94.80667114,0.040298,0.201947,7,14,0,0,0,2,0:00:07
20200722_112447_857115714,94.79573059,0.037289,0.198399,7,14,0,0,0,2,0:00:07
20200722_112447_857165712,94.7848053,0.038633,0.195469,7,14,0,0,0,2,0:00:07
20200722_112447_857199044,94.75331116,0.021157,0.18565,7,14,0,0,0,2,0:00:07
20200722_112447_857249042,94.73309326,0.001601,0.179779,7,14,0,0,0,2,0:00:07
20200722_112447_857299040,94.70464325,-0.034596,0.170051,7,14,0,0,0,2,0:00:07
20200722_112447_857332372,94.67703247,-0.042126,0.162017,7,14,0,0,0,2,0:00:07
20200722_112447_857365704,94.65947723,-0.044755,0.156398,7,14,0,0,0,2,0:00:07
20200722_112447_857399036,94.6424942,-0.031524,0.150996,7,14,0,0,0,2,0:00:07
20200722_112448_857415702,94.62610626,-0.00519,0.146303,7,14,0,0,0,2,0:00:08
20200722_112448_857449034,94.61799622,0.002934,0.144415,7,14,0,0,0,2,0:00:08
20200722_112448_857482366,94.60253143,0.006422,0.139311,7,14,0,0,0,2,0:00:08
20200722_112448_857499032,94.5873642,0.033883,0.134813,7,14,0,0,0,2,0:00:08
20200722_112448_857549030,94.57550812,0.044896,0.139952,7,14,0,0,0,2,0:00:08
20200722_112448_857565696,94.5541153,0.055254,0.133325,7,14,0,0,0,2,0:00:08
20200722_112448_857582362,94.54717255,0.060376,0.131563,7,15,0,0,0,2,0:00:08
20200722_112448_857615694,94.5406723,0.060276,0.128873,7,14,0,0,0,2,0:00:08
20200722_112448_857665692,94.52767944,0.083302,0.124753,8,14,0,0,0,2,0:00:08
20200722_112448_857699024,94.50862122,0.112913,0.111478,8,15,0,0,0,2,0:00:08
20200722_112448_857732356,94.4964447,0.153437,0.107678,9,15,0,0,0,2,0:00:08
20200722_112448_857749022,94.48464203,0.198969,0.10421,9,15,0,0,0,2,0:00:08
20200722_112448_857799020,94.47897339,0.216615,0.102837,10,15,0,0,0,2,0:00:08
20200722_112448_857832352,94.46351624,0.214011,0.096085,10,15,0,0,0,2,0:00:08
20200722_112448_857865684,94.45389557,0.174436,0.091209,10,15,0,0,0,2,0:00:08
20200722_112448_857882350,94.44464874,0.116412,0.086334,10,15,0,0,0,2,0:00:08
20200722_112448_857915682,94.44010925,0.079584,0.083839,10,15,0,0,0,2,0:00:08
20200722_112448_857949014,94.43132782,0.025321,0.07941,10,15,0,0,0,2,0:00:08
20200722_112448_857965680,94.42313385,0.003795,0.07545,10,15,0,0,0,2,0:00:08
20200722_112448_857999012,94.41910553,0.003054,0.07402,10,15,0,0,0,2,0:00:08
20200722_112448_858015678,94.41163635,0.016311,0.070426,10,15,0,0,0,2,0:00:08
20200722_112448_858049010,94.40812683,0.022836,0.068366,10,15,0,0,0,2,0:00:08
20200722_112448_858099008,94.40116882,0.039793,0.064898,10,15,0,0,0,2,0:00:08
20200722_112448_858115674,94.39131927,0.056372,0.059565,10,15,0,0,0,2,0:00:08
20200722_112448_858149006,94.388237,0.053613,0.058158,11,15,0,0,0,2,0:00:08
20200722_112448_858182338,94.38225555,0.078103,0.055342,11,15,0,0,0,2,0:00:08
20200722_112448_858232336,94.37677002,0.099302,0.052252,11,15,0,0,0,2,0:00:08
20200722_112448_858249002,94.36884308,0.181162,0.048235,12,16,0,0,0,2,0:00:08
20200722_112448_858299000,94.36638641,0.211857,0.046827,13,16,0,0,0,2,0:00:08
20200722_112449_858315666,94.36064911,0.204556,0.041105,13,16,0,0,0,2,0:00:09
20200722_112449_858348998,94.35920715,0.188066,0.038416,13,16,0,0,0,2,0:00:09
20200722_112449_858382330,94.35643005,0.159698,0.033895,13,16,0,0,0,2,0:00:09
20200722_112449_858398996,94.35404205,0.088968,0.028974,13,16,0,0,0,2,0:00:09
20200722_112449_858415662,94.35289001,0.045416,0.026582,13,16,0,0,0,2,0:00:09
20200722_112449_858448994,94.352005,0.009374,0.023961,13,16,0,0,0,2,0:00:09
20200722_112449_858465660,94.35031891,-0.009532,0.020047,13,16,0,0,0,2,0:00:09
20200722_112449_858515658,94.349617,-0.00663,0.018388,13,16,0,0,0,2,0:00:09
20200722_112449_858532324,94.34805298,-0.003338,0.01397,12,16,0,0,0,2,0:00:09
20200722_112449_858565656,94.34799957,-0.011592,0.011796,12,16,0,0,0,2,0:00:09
20200722_112449_858598988,94.34786987,-0.005842,0.008362,12,16,0,0,0,2,0:00:09
20200722_112449_858665652,94.34855652,-0.055738,0.004185,12,16,0,0,0,2,0:00:09
20200722_112449_858715650,94.35181427,-0.272439,-0.005566,10,16,0,0,0,2,0:00:09
20200722_112449_858748982,94.35424042,-0.349416,-0.01075,9,16,0,0,0,2,0:00:09
20200722_112449_858798980,94.35577393,-0.313742,-0.012673,10,16,0,0,0,2,0:00:09
20200722_112449_858832312,94.35842133,-0.16182,-0.014584,10,16,0,0,0,2,0:00:09
20200722_112449_858848978,94.3608017,0.020684,-0.014985,10,16,0,0,0,2,0:00:09
20200722_112449_858882310,94.36230469,0.063441,-0.016049,10,16,0,0,0,2,0:00:09
20200722_112449_858898976,94.36525726,0.141388,-0.018361,10,16,0,0,0,2,0:00:09
